id	coleta	sexo	posicao	trilha	idteia	situacaoteia	agreg	cefalotorax	nacomp	acomp	nacomp2	data
f73	1	f	na	3	73	s	41	0,522	1	n	0	02/mai
f74	1	f	na	sede	74	s	42	0,47	1	n	0	02/mai
f75	1	f	na	sede	75	s	43	0,493	1	n	0	02/mai
f76	1	f	na	1	76	s	44	0,575	1	n	0	12/mar
f77	2	f	na	1	77	s	45	0,45	3	s	2	12/mar
f78	2	f	na	1	78	s	46	0,442	2	s	1	12/mar
f79	2	f	na	1	79	s	47	0,445	3	s	2	12/mar
f80	2	f	na	3	80	a	6	0,296	1	n	0	12/mar
f81	2	f	na	3	81	a	6	0,368	1	n	0	12/mar
f82	2	f	na	3	82	a	6	0,436	1	n	0	12/mar
f83	2	f	na	3	83	a	6	0,301	1	n	0	12/mar
f84	2	f	na	3	84	a	6	0,498	2	s	1	12/mar
f85	2	f	na	3	85	a	6	0,545	3	s	2	12/mar
f86	2	f	na	3	86	a	6	0,475	9	s	8	12/mar
f87	2	f	na	3	87	a	6	0,512	1	n	0	12/mar
f88	2	f	na	3	88	a	7	0,384	2	s	1	12/mar
f89	2	f	na	3	89	a	7	0,343	1	n	0	12/mar
f90	2	f	na	3	90	a	7	0,483	3	s	2	12/mar
f91	2	f	na	6	91	a	8	0,357	1	n	0	12/mar
f92	2	f	na	6	92	a	8	0,584	2	s	1	12/mar
f94	2	f	na	6	94	a	8	0,502	5	s	4	12/mar
f95	2	f	na	1	95	a	9	0,571	3	s	2	25/mar
f96	2	f	na	1	96	a	9	0,519	1	n	0	25/mar
f97	2	f	na	1	97	a	9	0,349	2	s	1	25/mar
f98	2	f	na	1	98	a	9	0,333	2	s	1	25/mar
f99	2	f	na	1	99	a	9	0,401	3	s	2	25/mar
f100	2	f	na	1	100	a	10	0,51	2	s	1	25/mar
f102	2	f	na	1	102	a	10	0,508	2	s	1	25/mar
f103	2	f	na	1	103	a	10	0,397	2	s	1	25/mar
f104	2	f	na	1	104	a	11	0,437	2	s	1	25/mar
f105	2	f	na	1	105	a	11	0,308	1	n	0	25/mar
f106	2	f	na	1	106	a	11	0,516	2	s	1	25/mar
f107	2	f	na	1	107	a	11	0,455	2	s	1	25/mar
f108	2	f	na	1	108	s	48	0,404	1	n	0	08/abr
f109	2	f	na	1	109	s	49	0,447	2	s	1	08/abr
